#,Product Handle,Product Title,Reasons,Tags,Category 1,Category 2,Material
1,brass-001-ring,Brass Assorted Mixed Style Ring Collection 001 Ring,tag:wholesale | tag:kit | title:Assorted | title:Mixed Style,"brass, kit, mens, ring, wholesale",Rings,,Brass
2,brass-001-ring-2,Brass Assorted Mixed Style Ring Collection 001 Ring VK-001-SIZE5,tag:wholesale | tag:kit | title:Assorted | title:Mixed Style | title:VK-SKU,"brass, kit, ring, wholesale",Rings,,Brass
3,brass-001-ring-3,Brass Assorted Mixed Style Ring Collection 001 Ring VK-001-SIZE9,tag:wholesale | tag:kit | title:Assorted | title:Mixed Style | title:VK-SKU,"brass, kit, ring, wholesale",Rings,,Brass
4,brass-002-ring,Brass Assorted Mixed Style Ring Collection 002 Ring,tag:wholesale | tag:kit | title:Assorted | title:Mixed Style,"brass, kit, ring, wholesale",Rings,,Brass
5,brass-003-ring,Brass Assorted Mixed Style Ring Collection 003 Ring,tag:wholesale | tag:kit | title:Assorted | title:Mixed Style,"brass, kit, ring, wholesale",Rings,,Brass
6,brass-003-ring-2,Brass Assorted Mixed Style Ring Collection 003 Ring VK-003-SIZE6,tag:wholesale | tag:kit | title:Assorted | title:Mixed Style | title:VK-SKU,"brass, kit, ring, wholesale",Rings,,Brass
7,brass-003-ring-3,Brass Assorted Mixed Style Ring Collection 003 Ring VK-003-SIZE8,tag:wholesale | tag:kit | title:Assorted | title:Mixed Style | title:VK-SKU,"brass, kit, ring, wholesale",Rings,,Brass
8,brass-004-ring,Brass Assorted Mixed Style Ring Collection 004 Ring,tag:wholesale | tag:kit | title:Assorted | title:Mixed Style,"brass, kit, ring, wholesale",Rings,,Brass
9,brass-004-ring-2,Brass Assorted Mixed Style Ring Collection 004 Ring VK-004-SIZE7,title:Assorted | title:Mixed Style | title:VK-SKU,"brass, ring",Rings,,Brass
10,brass-004-ring-3,Brass Assorted Mixed Style Ring Collection 004 Ring VK-004-SIZE8,tag:wholesale | tag:kit | title:Assorted | title:Mixed Style | title:VK-SKU,"brass, kit, ring, wholesale",Rings,,Brass
11,brass-005-ring,Brass Assorted Mixed Style Ring Collection 005 Ring,title:Assorted | title:Mixed Style,"brass, ring",Rings,,Brass
12,brass-006-ring,Brass Assorted Mixed Style Ring Collection 006 Ring,tag:wholesale | tag:kit | title:Assorted | title:Mixed Style,"brass, kit, ring, wholesale",Rings,,Brass
13,brass-006-ring-2,Brass Assorted Mixed Style Ring Collection 006 Ring VK-006-SIZE8,tag:wholesale | tag:kit | title:Assorted | title:Mixed Style | title:VK-SKU,"brass, kit, ring, wholesale",Rings,,Brass
14,brass-007-ring,Brass Assorted Mixed Style Ring Collection 007 Ring,tag:wholesale | tag:kit | title:Assorted | title:Mixed Style,"brass, kit, ring, wholesale",Rings,,Brass
15,brass-007-ring-2,Brass Assorted Mixed Style Ring Collection 007 Ring VK-007-SIZE7,tag:wholesale | tag:kit | title:Assorted | title:Mixed Style | title:VK-SKU,"brass, kit, ring, wholesale",Rings,,Brass
16,brass-007-ring-3,Brass Assorted Mixed Style Ring Collection 007 Ring VK-007-SIZE8,tag:wholesale | tag:kit | title:Assorted | title:Mixed Style | title:VK-SKU,"brass, kit, ring, wholesale",Rings,,Brass
17,brass-008-ring,Brass Assorted Mixed Style Ring Collection 008 Ring,title:Assorted | title:Mixed Style,"brass, ring",Rings,,Brass
18,brass-008-ring-2,Brass Assorted Mixed Style Ring Collection 008 Ring VK-008-SIZE9,tag:wholesale | tag:kit | title:Assorted | title:Mixed Style | title:VK-SKU,"brass, kit, ring, wholesale",Rings,,Brass
19,brass-009-ring,Brass Assorted Mixed Style Ring Collection 009 Ring,tag:wholesale | tag:kit | title:Assorted | title:Mixed Style,"brass, kit, ring, wholesale",Rings,,Brass
20,brass-009-ring-2,Brass Assorted Mixed Style Ring Collection 009 Ring VK-009-SIZE6,tag:wholesale | tag:kit | title:Assorted | title:Mixed Style | title:VK-SKU,"brass, kit, ring, wholesale",Rings,,Brass
21,brass-009-ring-3,Brass Assorted Mixed Style Ring Collection 009 Ring VK-009-SIZE7,tag:wholesale | tag:kit | title:Assorted | title:Mixed Style | title:VK-SKU,"brass, kit, ring, wholesale",Rings,,Brass
22,brass-010-ring,Brass Assorted Mixed Style Ring Collection 010 Ring,title:Assorted | title:Mixed Style,"brass, ring",Rings,,Brass
23,brass-010-ring-2,Brass Assorted Mixed Style Ring Collection 010 Ring VK-010-SIZE6,tag:wholesale | tag:kit | title:Assorted | title:Mixed Style | title:VK-SKU,"brass, kit, ring, wholesale",Rings,,Brass
24,brass-010-ring-3,Brass Assorted Mixed Style Ring Collection 010 Ring VK-010-SIZE7,tag:wholesale | tag:kit | title:Assorted | title:Mixed Style | title:VK-SKU,"brass, kit, ring, wholesale",Rings,,Brass
25,brass-010-ring-4,Brass Assorted Mixed Style Ring Collection 010 Ring VK-010-SIZE8,title:Assorted | title:Mixed Style | title:VK-SKU,"brass, ring",Rings,,Brass
26,brass-011-ring,Brass Assorted Mixed Style Ring Collection 011 Ring,tag:wholesale | tag:kit | title:Assorted | title:Mixed Style,"brass, kit, ring, wholesale",Rings,,Brass
27,brass-011-ring-2,Brass Assorted Mixed Style Ring Collection 011 Ring VK-011-SIZE5,title:Assorted | title:Mixed Style | title:VK-SKU,"brass, ring",Rings,,Brass
28,brass-011-ring-3,Brass Assorted Mixed Style Ring Collection 011 Ring VK-011-SIZE9,tag:wholesale | tag:kit | title:Assorted | title:Mixed Style | title:VK-SKU,"brass, kit, ring, wholesale",Rings,,Brass
29,brass-012-ring,Brass Assorted Mixed Style Ring Collection 012 Ring,tag:wholesale | tag:kit | title:Assorted | title:Mixed Style,"brass, kit, ring, wholesale",Rings,,Brass
30,brass-012-ring-2,Brass Assorted Mixed Style Ring Collection 012 Ring VK-012-SIZE5,tag:wholesale | tag:kit | title:Assorted | title:Mixed Style | title:VK-SKU,"brass, kit, ring, wholesale",Rings,,Brass
31,brass-012-ring-3,Brass Assorted Mixed Style Ring Collection 012 Ring VK-012-SIZE6,tag:wholesale | tag:kit | title:Assorted | title:Mixed Style | title:VK-SKU,"brass, kit, ring, wholesale",Rings,,Brass
32,brass-012-ring-4,Brass Assorted Mixed Style Ring Collection 012 Ring VK-012-SIZE7,tag:wholesale | tag:kit | title:Assorted | title:Mixed Style | title:VK-SKU,"brass, kit, ring, wholesale",Rings,,Brass
33,brass-012-ring-5,Brass Assorted Mixed Style Ring Collection 012 Ring VK-012-SIZE8,title:Assorted | title:Mixed Style | title:VK-SKU,"brass, ring",Rings,,Brass
34,brass-012-ring-6,Brass Assorted Mixed Style Ring Collection 012 Ring VK-012-SIZE9,tag:wholesale | tag:kit | title:Assorted | title:Mixed Style | title:VK-SKU,"brass, kit, ring, wholesale",Rings,,Brass
35,brass-013-ring,Brass Assorted Mixed Style Ring Collection 013 Ring,tag:wholesale | tag:kit | title:Assorted | title:Mixed Style,"brass, kit, ring, wholesale",Rings,,Brass
36,brass-013-ring-2,Brass Assorted Mixed Style Ring Collection 013 Ring VK-013-SIZE6,tag:wholesale | tag:kit | title:Assorted | title:Mixed Style | title:VK-SKU,"brass, kit, ring, wholesale",Rings,,Brass
37,brass-013-ring-3,Brass Assorted Mixed Style Ring Collection 013 Ring VK-013-SIZE9,tag:wholesale | tag:kit | title:Assorted | title:Mixed Style | title:VK-SKU,"brass, kit, ring, wholesale",Rings,,Brass
38,brass-014-ring,Brass Assorted Mixed Style Ring Collection 014 Ring,tag:wholesale | tag:kit | title:Assorted | title:Mixed Style,"brass, kit, ring, wholesale",Rings,,Brass
39,brass-014-ring-2,Brass Assorted Mixed Style Ring Collection 014 Ring VK-014-SIZE8,tag:wholesale | tag:kit | title:Assorted | title:Mixed Style | title:VK-SKU,"brass, kit, ring, wholesale",Rings,,Brass
40,brass-014-ring-3,Brass Assorted Mixed Style Ring Collection 014 Ring VK-014-SIZE9,tag:wholesale | tag:kit | title:Assorted | title:Mixed Style | title:VK-SKU,"brass, kit, ring, wholesale",Rings,,Brass
41,brass-015-ring,Brass Assorted Mixed Style Ring Collection 015 Ring,tag:wholesale | tag:kit | title:Assorted | title:Mixed Style,"brass, kit, ring, wholesale",Rings,,Brass
